DOLocationID,month,time,day_of_the_week,num_pickups
87,1,19,3,387
68,1,12,6,1485
48,1,9,6,912
232,1,11,5,244
166,1,3,2,39
230,1,17,0,2251
107,1,11,3,940
246,1,10,1,1976
107,1,7,4,1131
239,1,8,2,1559
162,1,7,5,568
100,1,22,2,938
170,1,16,1,2297
263,1,23,1,977
158,1,12,5,711
186,1,17,2,2545
90,1,22,0,916
137,1,17,2,1042
50,1,1,0,379
137,1,22,0,901
74,1,9,4,351
75,1,14,1,889
233,1,9,4,1349
79,1,8,2,587
164,1,15,1,1808
68,1,19,0,1759
236,1,7,4,2647
186,1,21,1,2032
41,1,11,5,399
229,1,21,3,1512
142,1,0,3,421
48,1,16,4,1551
236,1,18,4,3670
209,1,7,4,109
263,1,10,5,1349
230,1,21,2,1967
13,1,19,1,714
163,1,22,1,1320
114,1,20,2,1040
88,1,9,0,575
237,1,9,2,3624
140,1,10,1,1779
246,1,9,1,2843
79,1,23,4,2839
41,1,18,2,656
262,1,10,3,476
236,1,13,5,3057
164,1,16,5,1384
140,1,11,0,1241
143,1,23,5,787
140,1,8,4,1860
233,1,8,2,1891
237,1,15,5,2915
87,1,5,0,102
163,1,15,6,1439
79,1,21,3,2061
233,1,22,4,1076
79,1,18,5,2796
236,1,22,1,2051
161,1,16,2,3028
151,1,20,1,956
238,1,18,5,1687
236,1,10,6,2776
90,1,21,5,1106
100,1,13,2,1452
170,1,12,5,1537
163,1,22,3,1065
164,1,0,0,663
90,1,10,5,893
170,1,14,2,2757
50,1,15,2,687
87,1,18,1,450
107,1,22,2,1901
262,1,17,6,808
230,1,7,1,3474
162,1,18,6,1297
142,1,15,4,2166
234,1,11,5,1873
236,1,18,1,4743
234,1,10,2,2840
137,1,11,2,899
141,1,7,3,918
161,1,9,3,4055
113,1,16,5,1119
229,1,1,4,265
238,1,13,2,1492
170,1,23,5,2153
237,1,18,3,3144
230,1,12,1,2211
230,1,15,3,1659
230,1,20,2,1781
246,1,8,0,3017
13,1,21,3,552
263,1,12,5,1386
163,1,14,1,2222
141,1,21,0,1667
186,1,7,4,1102
163,1,13,0,2002
87,1,7,2,716
79,1,9,1,579
148,1,0,6,1781
238,1,17,6,1673
142,1,10,5,2167
68,1,6,2,775
164,1,15,5,1438
164,1,22,4,1358
74,1,20,3,459
162,1,16,5,1502
170,1,8,1,3393
230,1,15,2,2180
79,1,12,0,957
158,1,18,3,864
249,1,18,3,1525
140,1,14,2,1812
229,1,18,5,1626
239,1,20,0,1947
237,1,8,4,2797
113,1,12,2,1192
237,1,10,1,3406
234,1,14,6,1720
114,1,22,5,1103
239,1,14,2,2215
246,1,17,4,1102
161,1,6,2,4597
186,1,15,3,1803
100,1,20,2,1125
48,1,14,0,1589
262,1,13,1,781
143,1,1,6,412
140,1,13,0,1388
141,1,13,1,1665
236,1,17,4,3577
116,1,11,5,101
236,1,12,1,3923
170,1,17,2,2938
170,1,3,5,769
140,1,23,1,580
68,1,12,6,1485
79,1,1,5,2493
237,1,17,1,3928
90,1,9,5,767
113,1,15,3,803
234,1,9,1,3764
162,1,9,1,4220
163,1,9,1,2840
140,1,6,2,1557
229,1,19,1,2161
234,1,14,3,1669
249,1,20,6,1051
140,1,7,0,1597
239,1,12,1,1942
263,1,20,4,1844
164,1,16,1,1725
68,1,23,0,961
234,1,9,1,3764
164,1,17,1,1770
161,1,8,1,6704
236,1,9,6,1919
75,1,10,5,521
151,1,2,5,221
234,1,11,5,1873
68,1,19,6,1237
238,1,17,1,2478
74,1,4,0,218
186,1,13,0,1768
238,1,22,2,1807
263,1,22,3,1496
236,1,9,5,2368
75,1,11,1,754
100,1,14,2,1553
163,1,21,3,1106
148,1,9,1,273
230,1,23,5,1415
100,1,14,1,1544
113,1,3,5,269
161,1,22,0,1058
107,1,23,2,1305
161,1,10,4,3114
100,1,16,3,984
233,1,9,6,244
113,1,12,0,940
238,1,15,2,2326
238,1,11,0,1115
237,1,14,5,2898
158,1,14,6,682
234,1,8,5,976
141,1,13,6,1628
13,1,8,3,964
163,1,19,5,1539
75,1,19,2,957
263,1,22,3,1496
163,1,20,6,984
246,1,17,4,1102
163,1,17,4,1525
236,1,13,2,3881
163,1,21,6,911
233,1,22,3,1030
239,1,14,4,2049
239,1,18,6,1861
263,1,12,2,1150
163,1,13,5,1545
148,1,20,5,1420
161,1,6,4,3092
50,1,11,0,632
48,1,13,2,1686
170,1,9,2,3324
170,1,15,3,1744
237,1,17,5,2527
114,1,13,3,375
100,1,15,2,1515
162,1,14,1,2578
211,1,15,5,820
262,1,13,3,590
68,1,15,0,1447
68,1,19,1,2014
232,1,16,3,186
74,1,6,5,145
107,1,19,4,2161
236,1,21,2,3278
236,1,18,1,4743
141,1,11,0,1538
232,1,1,4,148
50,1,18,1,890
140,1,6,6,310
113,1,21,1,1247
158,1,19,3,846
161,1,14,2,3774
164,1,10,3,1244
161,1,14,6,1897
137,1,18,0,1140
