Event_ID,location_id,time,num_dropoffs,busyness_score
6,4,0,143,0.156626506
6,4,1,137,0.1500547645
6,4,2,116,0.1270536692
6,4,3,110,0.1204819277
6,4,4,86,0.0941949617
6,4,5,29,0.0317634173
6,4,6,15,0.0164293538
6,4,7,16,0.017524644
6,4,8,17,0.0186199343
6,4,9,26,0.0284775465
6,4,10,40,0.0438116101
6,4,11,47,0.0514786418
6,4,12,52,0.0569550931
6,4,13,47,0.0514786418
6,4,14,48,0.0525739321
6,4,15,74,0.0810514786
6,4,16,69,0.0755750274
6,4,17,74,0.0810514786
6,4,18,95,0.1040525739
6,4,19,76,0.0832420591
6,4,20,82,0.0898138007
6,4,21,66,0.0722891566
6,4,22,61,0.0668127054
6,4,23,55,0.0602409639
6,12,0,8,0.008762322
6,12,1,5,0.0054764513
6,12,2,5,0.0054764513
6,12,3,3,0.0032858708
6,12,4,0,0.0
6,12,5,0,0.0
6,12,6,2,0.0021905805
6,12,7,4,0.004381161
6,12,8,19,0.0208105148
6,12,9,8,0.008762322
6,12,10,10,0.0109529025
6,12,11,9,0.0098576123
6,12,12,8,0.008762322
6,12,13,3,0.0032858708
6,12,14,5,0.0054764513
6,12,15,5,0.0054764513
6,12,16,4,0.004381161
6,12,17,2,0.0021905805
6,12,18,1,0.0010952903
6,12,19,6,0.0065717415
6,12,20,0,0.0
6,12,21,2,0.0021905805
6,12,22,2,0.0021905805
6,12,23,1,0.0010952903
6,13,0,96,0.1051478642
6,13,1,95,0.1040525739
6,13,2,69,0.0755750274
6,13,3,54,0.0591456736
6,13,4,21,0.0230010953
6,13,5,8,0.008762322
6,13,6,14,0.0153340635
6,13,7,25,0.0273822563
6,13,8,43,0.0470974808
6,13,9,79,0.0865279299
6,13,10,110,0.1204819277
6,13,11,136,0.1489594743
6,13,12,128,0.1401971522
6,13,13,157,0.1719605696
6,13,14,153,0.1675794085
6,13,15,129,0.1412924425
6,13,16,114,0.1248630887
6,13,17,126,0.1380065717
6,13,18,103,0.1128148959
6,13,19,105,0.1150054765
6,13,20,71,0.0777656079
6,13,21,86,0.0941949617
6,13,22,73,0.0799561884
6,13,23,45,0.0492880613
6,24,0,59,0.0646221249
6,24,1,54,0.0591456736
6,24,2,36,0.0394304491
6,24,3,27,0.0295728368
6,24,4,23,0.0251916758
6,24,5,8,0.008762322
6,24,6,13,0.0142387733
6,24,7,24,0.026286966
6,24,8,27,0.0295728368
6,24,9,46,0.0503833516
6,24,10,55,0.0602409639
6,24,11,47,0.0514786418
6,24,12,60,0.0657174151
6,24,13,64,0.0700985761
6,24,14,64,0.0700985761
6,24,15,72,0.0788608981
6,24,16,65,0.0711938664
6,24,17,84,0.0920043812
6,24,18,60,0.0657174151
6,24,19,60,0.0657174151
6,24,20,48,0.0525739321
6,24,21,55,0.0602409639
6,24,22,41,0.0449069003
6,24,23,26,0.0284775465
6,41,0,101,0.1106243154
6,41,1,112,0.1226725082
6,41,2,84,0.0920043812
6,41,3,46,0.0503833516
6,41,4,40,0.0438116101
6,41,5,18,0.0197152245
6,41,6,24,0.026286966
6,41,7,37,0.0405257393
6,41,8,53,0.0580503834
6,41,9,88,0.0963855422
6,41,10,127,0.139101862
6,41,11,130,0.1423877327
6,41,12,119,0.13033954
6,41,13,134,0.1467688938
6,41,14,104,0.1139101862
6,41,15,118,0.1292442497
6,41,16,122,0.1336254107
6,41,17,125,0.1369112815
6,41,18,114,0.1248630887
6,41,19,92,0.1007667032
6,41,20,111,0.121577218
6,41,21,95,0.1040525739
6,41,22,79,0.0865279299
6,41,23,67,0.0733844469
6,42,0,109,0.1193866375
6,42,1,100,0.1095290252
6,42,2,89,0.0974808324
6,42,3,65,0.0711938664
6,42,4,53,0.0580503834
6,42,5,21,0.0230010953
6,42,6,21,0.0230010953
6,42,7,34,0.0372398686
6,42,8,57,0.0624315444
6,42,9,69,0.0755750274
6,42,10,69,0.0755750274
6,42,11,70,0.0766703176
6,42,12,59,0.0646221249
6,42,13,60,0.0657174151
6,42,14,74,0.0810514786
6,42,15,72,0.0788608981
6,42,16,52,0.0569550931
6,42,17,67,0.0733844469
6,42,18,74,0.0810514786
6,42,19,60,0.0657174151
6,42,20,80,0.0876232202
6,42,21,68,0.0744797371
6,42,22,65,0.0711938664
6,42,23,60,0.0657174151
6,43,0,44,0.0481927711
6,43,1,50,0.0547645126
6,43,2,45,0.0492880613
6,43,3,22,0.0240963855
6,43,4,9,0.0098576123
6,43,5,4,0.004381161
6,43,6,35,0.0383351588
6,43,7,50,0.0547645126
6,43,8,91,0.0996714129
6,43,9,216,0.2365826944
6,43,10,298,0.3263964951
6,43,11,309,0.3384446878
6,43,12,257,0.2814895947
6,43,13,273,0.2990142388
6,43,14,237,0.2595837897
6,43,15,188,0.2059145674
6,43,16,168,0.1840087623
6,43,17,165,0.1807228916
6,43,18,111,0.121577218
6,43,19,93,0.1018619934
6,43,20,89,0.0974808324
6,43,21,65,0.0711938664
6,43,22,69,0.0755750274
6,43,23,50,0.0547645126
6,45,0,65,0.0711938664
6,45,1,53,0.0580503834
6,45,2,32,0.0350492881
6,45,3,35,0.0383351588
6,45,4,27,0.0295728368
6,45,5,8,0.008762322
6,45,6,5,0.0054764513
6,45,7,11,0.0120481928
6,45,8,18,0.0197152245
6,45,9,36,0.0394304491
6,45,10,46,0.0503833516
6,45,11,35,0.0383351588
6,45,12,55,0.0602409639
6,45,13,63,0.0690032859
6,45,14,34,0.0372398686
