Event ID,Event Name,Start Date/Time,End Date/Time,Event Agency,Event Type,Event Borough,Event Location,Event Street Side,Street Closure Type,Community Board,Police Precinct
11288.0,83rd Annual Macy's Thanksgiving Day Parade,11/26/2009 10:00:00 AM,11/26/2009 02:00:00 PM,Street Activity Permit Office,Special Event,Manhattan," WEST   77 STREET between CENTRAL PARK WEST and COLUMBUS AVENUE,  CENTRAL PARK WEST between WEST   77 STREET and WEST   86 STREET,  COLUMBUS AVENUE between WEST   77 STREET and WEST   81 STREET,  WEST   34 STREET between BROADWAY and 7 AVENUE,  BROADWAY between WEST   34 STREET and WEST   35 STREET,  WEST   34 STREET between BROADWAY and 8 AVENUE,  BROADWAY between WEST   34 STREET and WEST   36 STREET,  WEST   35 STREET between BROADWAY and 6 AVENUE,  WEST   36 STREET between 5 AVENUE and 6 AVENUE,  WEST   35 STREET between 5 AVENUE and 6 AVENUE",Both,Full Street Closure ,"4, 5, 7, ","14, 20, "
75680.0,86th Annual Macy's Thanksgiving Day Parade,11/22/2012 09:00:00 AM,11/23/2012 12:30:00 AM,Street Activity Permit Office,Special Event,Manhattan," COLUMBUS AVENUE between WEST   77 STREET and WEST   81 STREET,  WEST   35 STREET between BROADWAY and 7 AVENUE,  WEST   34 STREET between BROADWAY and 7 AVENUE,  BROADWAY between WEST   34 STREET and WEST   35 STREET,  WEST   36 STREET between BROADWAY and 6 AVENUE,  WEST   36 STREET between 5 AVENUE and 6 AVENUE,  WEST   35 STREET between 5 AVENUE and 6 AVENUE,  BROADWAY between WEST   35 STREET and WEST   36 STREET,  WEST   59 STREET between 6 AVENUE and 5 AVENUE,  WEST   34 STREET between 5 AVENUE and 6 AVENUE,  WEST   76 STREET between COLUMBUS AVENUE and AMSTERDAM AVENUE,  WEST   71 STREET between COLUMBUS AVENUE and AMSTERDAM AVENUE,  WEST   36 STREET between 8 AVENUE and 7 AVENUE",East,Curb Lane Only,"5, 64, 7, ","14, 18, 20, 22, "
125155.0,87th Annual Macy's Thanksgiving Day Parade,11/28/2013 09:00:00 AM,11/28/2013 11:00:00 AM,Parks Department,Special Event,Manhattan,"Central Park: Central Park West Sidewalks - 65th St to 72nd St ,Central Park: Central Park South Sidewalks - 7 Ave to Merchant's Gate ",,,"64, ","22, "
126522.0,87th Annual Macy's Thanksgiving Day Parade,11/28/2013 09:00:00 AM,11/28/2013 12:00:00 PM,Street Activity Permit Office,Special Event,Manhattan," COLUMBUS AVENUE between WEST   77 STREET and WEST   81 STREET,  WEST   34 STREET between BROADWAY and 7 AVENUE, 34/35 Broadway Pedestrian Plaza (Herald Square): 34/35 Broadway Pedestrian Plaza (Herald Square) BROADWAY between W 34TH STREET and W. 35TH STREET,  WEST   36 STREET between 5 AVENUE and 6 AVENUE,  WEST   35 STREET between 5 AVENUE and 6 AVENUE,  BROADWAY between WEST   35 STREET and WEST   36 STREET,  WEST   59 STREET between 5 AVENUE and 6 AVENUE,  WEST   34 STREET between 5 AVENUE and 6 AVENUE,  WEST   47 STREET between 6 AVENUE and 7 AVENUE",East,Curb Lane Only,"5, 64, 7, ","14, 18, 20, 22, "
186645.0,88th Annual Macy's Thanksgiving Day Parade,11/27/2014 09:00:00 AM,11/27/2014 12:00:00 PM,Street Activity Permit Office,Special Event,Manhattan," COLUMBUS AVENUE between WEST   77 STREET and WEST   81 STREET,  WEST   34 STREET between BROADWAY and 7 AVENUE,  BROADWAY between WEST   34 STREET and WEST   35 STREET,  WEST   35 STREET between 5 AVENUE and 6 AVENUE,  BROADWAY between WEST   35 STREET and WEST   36 STREET,  WEST   59 STREET between 5 AVENUE and 6 AVENUE,  WEST   34 STREET between 5 AVENUE and 6 AVENUE,  WEST   47 STREET between 6 AVENUE and 7 AVENUE",Full,Full Street Closure ,"5, 64, 7, ","14, 18, 20, 22, "
437785.0,92nd Annual Macy's Thanksgiving Day Parade,11/22/2018 12:01:00 AM,11/22/2018 11:59:00 PM,Parks Department,Special Event,Manhattan,"Central Park: Central Park West Sidewalks - 72nd St to 81st St ,Central Park: Central Park West Sidewalks - 65th St to 72nd St ,Central Park: Central Park West Sidewalks - Merchant's Gate to 65 St ,Central Park: Merchants' Gate ,Central Park: Central Park South Sidewalks - 7 Ave to Merchant's Gate ,Central Park: Central Park South Sidewalks - 6th Ave to 7th Ave ",,,"64, ","22, "
506638.0,93rd Annual Macy's Thanksgiving Day Parade,11/28/2019 12:01:00 AM,11/28/2019 11:59:00 PM,Parks Department,Special Event,Manhattan,"Central Park: Central Park West Sidewalks - 72nd St to 81st St ,Central Park: Central Park West Sidewalks - 65th St to 72nd St ,Central Park: Central Park West Sidewalks - Merchant's Gate to 65 St ,Central Park: Merchants' Gate ,Central Park: Central Park South Sidewalks - 7 Ave to Merchant's Gate ,Central Park: Central Park South Sidewalks - 6th Ave to 7th Ave ",,,"64, ","22, "
667935.0,96th Annual Macy's Thanksgiving Day Parade,11/24/2022 12:00:00 AM,11/24/2022 11:59:00 PM,Parks Department,Special Event,Manhattan,"Central Park: Central Park West Sidewalks - 65th St to 72nd St ,Central Park: Central Park West Sidewalks - 72nd St to 81st St ,Central Park: Central Park West Sidewalks - Merchant's Gate to 65 St ,Central Park: Merchants' Gate ,Central Park: Central Park South Sidewalks - 7 Ave to Merchant's Gate ,Central Park: Central Park South Sidewalks - 6th Ave to 7th Ave",,,"64,","22,"
379815.0,Halloween Parade and Party,10/29/2017 12:50:00 PM,10/29/2017 01:20:00 PM,Police Department,Parade,Manhattan," GREENWICH STREET between NORTH MOORE STREET and BEACH STREET,  GREENWICH STREET between NORTH MOORE STREET and DUANE STREET,  GREENWICH STREET between DUANE STREET and READE STREET",Full,Full Street Closure ,"1, ","1, "
210271.0,Halloween Parade and Party,10/25/2015 01:00:00 PM,10/25/2015 01:30:00 PM,Police Department,Parade,Manhattan," GREENWICH STREET between NORTH MOORE STREET and BEACH STREET,  GREENWICH STREET between NORTH MOORE STREET and DUANE STREET,  GREENWICH STREET between DUANE STREET and CHAMBERS STREET",Full,Full Street Closure ,"1, ","1, "
175929.0,Halloween Parade and Party,10/26/2014 01:00:00 PM,10/26/2014 03:00:00 PM,Parks Department,Special Event,Manhattan,"Washington Market Park: Center Lawn ,Washington Market Park: Gazebo ",,,"1, ","1, "
446834.0,Halloween Parade and Party,10/28/2018 12:50:00 PM,10/28/2018 01:20:00 PM,Police Department,Parade,Manhattan," GREENWICH STREET between NORTH MOORE STREET and BEACH STREET,  GREENWICH STREET between NORTH MOORE STREET and DUANE STREET,  GREENWICH STREET between DUANE STREET and READE STREET",Full,Full Street Closure ,"1, ","1, "
207005.0,Halloween Parade and Party,10/25/2015 01:00:00 PM,10/25/2015 03:00:00 PM,Parks Department,Special Event,Manhattan,"Washington Market Park: Washington Market Park   ,Washington Market Park: Center Lawn ,Washington Market Park: Gazebo ",,,"1, ","1, "
315443.0,Halloween Parade and Party,10/30/2016 12:50:00 PM,10/30/2016 01:20:00 PM,Police Department,Parade,Manhattan," GREENWICH STREET between NORTH MOORE STREET and BEACH STREET,  GREENWICH STREET between NORTH MOORE STREET and DUANE STREET,  GREENWICH STREET between DUANE STREET and READE STREET",Full,Full Street Closure ,"1, ","1, "
301217.0,Halloween Parade and Party,10/30/2016 01:00:00 PM,10/30/2016 03:00:00 PM,Parks Department,Special Event,Manhattan,"Washington Market Park: Washington Market Park ,Washington Market Park: Center Lawn ,Washington Market Park: Gazebo ",,,"1, ","1, "
179932.0,Halloween Parade and Party,10/26/2014 01:00:00 PM,10/26/2014 01:30:00 PM,Police Department,Parade,Manhattan," GREENWICH STREET between NORTH MOORE STREET and BEACH STREET,  GREENWICH STREET between NORTH MOORE STREET and DUANE STREET, Washington Market Park: Sidewalk ",Full,Full Street Closure ,"1, ","1, "
406904.0,Halloween Parade and Party,10/28/2018 01:00:00 PM,10/28/2018 03:00:00 PM,Parks Department,Special Event,Manhattan,"Washington Market Park: Washington Market Park ,Washington Market Park: Center Lawn ,Washington Market Park: Gazebo ",,,"1, ","1, "
511310.0,Halloween Parade and Party,10/27/2019 12:50:00 PM,10/27/2019 01:20:00 PM,Police Department,Parade,Manhattan," GREENWICH STREET between NORTH MOORE STREET and BEACH STREET,  GREENWICH STREET between NORTH MOORE STREET and DUANE STREET,  GREENWICH STREET between DUANE STREET and READE STREET",Full,Full Street Closure ,"1, ","1, "
462971.0,NYC Saint PAtrick's Day Parade,03/16/2019 08:00:00 AM,03/16/2019 06:00:00 PM,Parks Department,Special Event,Manhattan,Central Park: Fifth Ave Sidewalks - 60 St to 65 St ,,,"64, ","22, "
