[info] 2023-06-29T15:37:55.270Z | ::ffff:127.0.0.1 | GET '/' | 200
[info] 2023-06-29T15:38:03.925Z | ::ffff:127.0.0.1 | GET '/api/predict/1995-01-21' | 200
[info] 2023-06-29T15:48:48.925Z | ::ffff:127.0.0.1 | GET '/' | 200
[info] 2023-06-29T15:49:09.047Z | ::ffff:127.0.0.1 | GET '/api/predict/1995-01-21' | 200
[info] 2023-06-29T15:49:33.634Z | ::ffff:127.0.0.1 | GET '/api/predict/1995-01-21' | 200
[info] 2023-06-29T15:51:48.172Z | ::ffff:127.0.0.1 | GET '/' | 200
[info] 2023-06-29T15:51:56.128Z | ::ffff:127.0.0.1 | GET '/' | 200
[info] 2023-06-29T15:51:58.902Z | ::ffff:127.0.0.1 | GET '/api/predict/1995-01-21' | 200
[info] 2023-06-29T15:52:49.138Z | ::ffff:127.0.0.1 | GET '/' | 200
[info] 2023-06-29T15:52:50.914Z | ::ffff:127.0.0.1 | GET '/api/predict/1995-01-21' | 200
[info] 2023-06-29T15:53:10.550Z | ::ffff:127.0.0.1 | GET '/' | 200
[info] 2023-06-29T15:53:13.257Z | ::ffff:127.0.0.1 | GET '/api/predict/1995-01-21' | 200
[info] 2023-06-29T15:53:14.088Z | ::ffff:127.0.0.1 | GET '/api/predict/1995-01-21' | 200
[error] 2023-06-29T15:56:14.467Z | undefined | GET '/1995-01-21' | 500
[info] 2023-06-29T15:57:07.683Z | ::ffff:127.0.0.1 | GET '/api/predict/1995-01-21' | 200
[error] 2023-06-29T15:58:31.374Z | undefined | GET '/1995-01-21' | 500
