station_complex,latitude,longitude,Georeference
WTC Cortlandt (1),40.711834,-74.01219,POINT (-74.01219 40.711834)
191 St (1),40.855225,-73.92941,POINT (-73.92941 40.855225)
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",40.749718,-73.98782,POINT (-73.98782 40.749718)
"Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)",40.71411,-74.00858,POINT (-74.00858 40.71411)
145 St (3),40.82042,-73.93625,POINT (-73.93625 40.82042)
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)/Bryant Pk (B,D,F,M)/5 Av (7)",40.75731,-73.981964,POINT (-73.981964 40.75731)
77 St (6),40.77362,-73.95988,POINT (-73.95988 40.77362)
50 St (1),40.761726,-73.98385,POINT (-73.98385 40.761726)
"86 St (B,C)",40.78587,-73.96892,POINT (-73.96892 40.78587)
"23 St (C,E)",40.745907,-73.99804,POINT (-73.99804 40.745907)
175 St (A),40.84739,-73.939705,POINT (-73.939705 40.84739)
Rector St (1),40.70751,-74.01379,POINT (-74.01379 40.70751)
"135 St (2,3)",40.814228,-73.94077,POINT (-73.94077 40.814228)
23 St (1),40.74408,-73.99566,POINT (-73.99566 40.74408)
23 St (6),40.739864,-73.9866,POINT (-73.9866 40.739864)
"Lexington Av-53 St (E,M)/51 St (6)",40.757553,-73.969055,POINT (-73.969055 40.757553)
Franklin St (1),40.71932,-74.00689,POINT (-74.00689 40.71932)
Dyckman St (1),40.86053,-73.92554,POINT (-73.92554 40.86053)
"155 St (B,D)",40.830135,-73.93821,POINT (-73.93821 40.830135)
Spring St (6),40.7223,-73.99714,POINT (-73.99714 40.7223)
"103 St (B,C)",40.796093,-73.96146,POINT (-73.96146 40.796093)
Harlem-148 St (3),40.82388,-73.93647,POINT (-73.93647 40.82388)
"47-50 Sts-Rockefeller Center (B,D,F,M)",40.758663,-73.98133,POINT (-73.98133 40.758663)
East Broadway (F),40.713715,-73.99017,POINT (-73.99017 40.713715)
"23 St (R,W)",40.741302,-73.98934,POINT (-73.98934 40.741302)
1 Av (L),40.730953,-73.98163,POINT (-73.98163 40.730953)
103 St (6),40.7906,-73.94748,POINT (-73.94748 40.7906)
"96 St (1,2,3)",40.79392,-73.97232,POINT (-73.97232 40.79392)
